iso,whrc_aboveground_biomass_stock_2000__Mg,whrc_aboveground_co2_stock_2000__Mg,umd_tree_cover_extent_2000__ha
ABW,2237.2181501099883775,3855.472612022879418,24.95241082599934849
AFG,26405267.440428252591404,45505077.555671307861677,205791.24716619909719846
AGO,6130343017.3826621844180075,10564624466.622688114161696,55292492.03695771714192794
AIA,150533.956487146170032,259420.185012850956374,2125.76740300813365537
ALA,7876847.904155438422182,13574434.554828078414115,107727.26260979271638188
ALB,87174166.468135394025678,150230146.880087534202032,648680.052297018387741830
AND,3311939.230529628974309,5707575.273946062646722,19004.037659664171779865
ARE,0,0,0
ARG,3077878491.6977814049374547,5304210600.6925208368341565,39086979.320572390166532841
ARM,42622961.202216808952059,73453569.805150465842562,336842.15093735053419956
ATF,0,0,71.636103116416558
ATG,2049953.9422509814973435,3532753.960479165440335,19323.34434460064519774
AUS,5375335619.0823099490854795,9263495050.2185104580740245,42280598.692826672833998486
AUT,769269640.3345638376946306,1325708013.5099011071721445,4336043.42772913846105545
AZE,146579984.8077049523779844,252606173.818613153934721,1268610.215076271713062779
BDI,53284789.0815803338506135,91827453.183923949949491,537674.34837589695861363
BEL,161945423.4431506507387791,279085946.400362608622618,865425.884589633759064315
BEN,20574105.833287795663218,35456042.386032655340117,168568.17385019456491083
BES,317411.310101950932370,547005.491075695232989,2432.08701945959237483
BFA,13742.768403435987911,23683.370881921353506,132.10845248515462093
BGD,345428637.4057635345023129,595288685.129259158180680,1938957.84070264252147146
BGR,532196943.2411898866537953,917152732.185653966058127,4138947.995682677533820609
BHR,0,0,0
BHS,21127203.5058562698256572,36409214.0417589653125495,303575.42138554477477406
BIH,460647651.3743629547227066,793849452.535171305111059,2657977.375734893107919700
BLM,60908.06161631489098,104964.89285211634214,621.9506204239996065
BLR,926955843.882813443359871,1597453904.291378877541037,9118585.55132818832252861
BLZ,330294998.9175505405099255,569208381.4679095181032465,1748275.85481303653981662
BMU,62495.032278839674464,107699.772293867094154,604.79413164675989752
BOL,11547600909.7751693762667187,19900365567.845953497827323,64521463.01088555547918086
BRA,118326965675.1049972207168233,203916804180.0961812605272435,519187508.44570775287453355
BRB,712251.346528099415533,1227446.487183421362770,5229.73614466928271031
BRN,169130609.1091526414426290,291468416.364774399850903,529338.97440789315677050
BTN,759430615.119847659971545,1308752093.389869402166474,2577234.59845933086432556
BWA,1253294.512303865076499,2159844.2095369920603835,20328.41012015845374370
CAF,6770123347.507506411395785,11667179235.537790557208450,47073501.13444480709519937
CAN,28135761016.4381869940678865,48487294818.32840046596668265,418066982.534635734483866332
CHE,269730434.822210880430896,464835449.343608629483412,1544417.660332636788296234
CHL,2413862873.9352342360402010,4159890352.748343010562857,19287066.431302519917562250
CHN,22295728859.2825044237486400,38422972734.163517963183117,162748596.437145931904709286
CIV,1883864988.539591900343651,3246527330.249890505218342,14872640.43008406941633097
CMR,7317470469.482341948570993,12610440775.741079819795886,31459332.15238494992830557
COD,43007165846.821465640974598,74115682476.022345979053155,199281686.52502536686071879
COG,6530742806.1029259488563135,11254646769.184147237926539,26388373.13191882862848254
COL,19517563628.2587767790978386,33635267986.032631668612135,81801036.05465160948598097
COM,26949150.332303376791551,46442369.072669306669085,134784.16599877484205246
CPV,0,0,7355.95390616582590522
CRI,776169127.3893587488454465,1337598129.534329824027120,3913048.86417329259214153
CUB,462640424.1924959790674617,797283664.3584007251790425,4014607.41507633370193198
CUW,389141.5342103506164955,670620.577289169799186,5260.66776782057852806
CYM,1289860.0146755479418385,2222858.758624186010165,13458.39070137774542433
CYP,9161115.861424923700821,15787656.334522286236163,89657.93337912441758859
CZE,508620017.3845896325721542,876521829.9594429135361586,3080384.40760456498898189
DEU,2192261961.8382452939660145,3777998114.234576583543400,12526779.90128854291018056
DJI,10.757111065686848,18.538088069867,0.07522455290690104
DMA,16740163.296716978261984,28848881.414675604199226,70924.82619292569590313
DNK,61027825.408646358950517,105171285.787567235869306,663203.69784132511001009
DOM,370817041.4264320690107645,639041368.0582223436419814,2576426.46692115150063736
DZA,137952462.8516421653113306,237738077.647662998435036,1223621.290838989033565700
ECU,4643717508.6836328689493806,8002673173.298171895534627,19027558.83812800610935085
EGY,11975517.8211148633093214,20637809.045054591285602,154304.25470167943862872
ERI,600.55632749788142,1034.958737721348905,4.60761319908799928
ESH,0,0,0
ESP,1501885805.572038350883947,2588249871.602477264426028,11018923.060405307431715016
EST,222079578.767019036503137,382717140.741829107718402,2639428.80121408486684135
ETH,1809068073.515333401955807,3117627313.358097022596207,12040336.15060700687166863
FIN,1315456894.1485258262968668,2266970714.2492877215888681,21627651.620616583425522069
FJI,339623061.089072361158175,585283741.943497003588446,1556559.24283948664652206
FLK,175428.141290119415885,302321.163489972755362,2188.35746794300792459
FRA,2953918178.1962739566082813,5090585660.4249116515757614,16783020.102675465713313295
FRO,0,0,0
FSM,1602205.934210381528508,2761134.89328922682832,6171.7177453986298301
GAB,6645470362.556657475583954,11452360591.472496024195594,24690965.17150952549884678
GBR,545521727.3211407579179911,940115776.7500994898173625,3695599.410974450784259146
GEO,514115910.657267256361263,885993086.032687993738376,3144573.090796246921537636
GGY,187778.660224930672738,323605.22445429718230,1508.204995808022108666
GHA,957278210.5295842283451355,1649709449.479295847566998,6955668.11695470985851754
GIB,11960.378058619159517,20611.71818768706609,119.85350947553392764
GIN,1052695079.3132187270751450,1814144520.016457817824337,8159637.06972525689837758
GLP,18474573.955839356035270,31837849.117229899205464,94757.79385746905641192
GMB,382824.0452518851031056,659733.437984082181790,4562.45664965890423804
GNB,125044973.3615978092510375,215494170.759820491666073,1069848.61390141702128716
GNQ,725276053.838131787210191,1249892399.447697941621780,2654595.05549445812873395
GRC,395376378.7218284198885956,681365292.6639495450587345,3672496.928590393978832634
GRD,5998412.980959524400714,10337265.037186883997570,28534.39672515561747800
GRL,0,0,0
GTM,1272711251.4103009852389743,2193305723.263756864469981,7693455.58401384078537355
GUF,2929710982.934762386301661,5048868593.924215739700285,8162751.08527665201204607
GUY,5681607862.243450819849616,9791304215.932902710860145,18996032.65976040209348457
HKG,10653055.126835397409561,18358765.001913021260888,62046.32394556271195459
HND,1260353675.8260930623652895,2172009501.340311376616937,7740481.98080393795139303
HRV,369033317.6537204457846328,635967417.423244667926629,2431307.547132030716271116
HTI,115994455.1216298404104294,199897110.9929415215009475,858466.37960027939731647
HUN,246947171.9447683472588608,425572292.9848161696441462,1990161.061776499137757729
IDN,43133886658.4035172121550259,74334064674.648723694804930,160641223.32647580756991027
IMN,1705982.798677544045714,2939977.02305430002359,13217.1496224080450741
IND,8873357185.3493517062752918,15291752216.0854087793001017,38830351.46155805489996604
IRL,130021726.870707779060067,224070775.973853032586711,841570.768495549942056925
IRN,181837929.961649283737001,313367365.967246751250947,1731671.419465463493531135
IRQ,1687869.622084807457820,2908761.982059491765267,17504.25585700893271740
ISL,0,0,0
ISR,2772866.607867740828527,4778573.454225404740095,29485.15502805931094684
ITA,1195060926.8685493364138813,2059488330.636810072964188,9318960.444528317807065836
JAM,151018550.8631607391707100,260255302.654182276972447,768439.99158160370333645
JEY,201108.175743372519778,346576.422864411860296,1549.97069756192956095
JOR,207334.54519063254397,357306.53287852336385,2271.4597412675241201
JPN,4459665486.709942037626304,7685490188.7634555818875225,26387254.411338238466786783
KAZ,446153940.3712319453968563,768871957.239751021555311,4240315.679628152965433056
KEN,468517880.561103731963072,807412480.833636536586801,3319482.95848812907955107
KGZ,71164621.644255000222195,122640364.633599718568407,674974.256373858740917914
KHM,1970522973.2074726347258540,3395867923.827536549654681,8809929.84861443704579468
KIR,0,0,0
KNA,2526615.111918199882021,4354200.042872361426947,13259.95374941168131931
KOR,592743901.885870947787471,1021495324.249990889352898,5367962.225609568519271797
KWT,0,0,0
LAO,4398368730.4332902316609495,7579855445.446713658778804,19129551.50593057971356622
LBN,6500893.749652051885755,11203206.895233688722580,65235.17381314936608865
LBR,1669081164.6323536557509649,2876383207.049754032274369,9384713.47510005240912397
LBY,584458.963577868243888,1007217.61389919830258,6833.00933028952058192
LCA,10658012.701264993202605,18367308.555180067508994,50731.18581796213811152
LIE,1480928.369239868407303,2552133.222990049600275,9077.337999985892977876
LKA,632463632.5072321731283056,1089945660.020797169382741,3939923.71486806513831421
LSO,589400.799650591615800,1015734.044731186753890,6051.93664161026836187
LTU,236887834.0914677373988430,408236700.750964214802147,2336226.279164943659203904
LUX,20869882.055786619750408,35965763.409472451432787,101326.48540681975786325
LVA,335713990.0271759096022584,578547109.4801687661990863,3553506.464905767496898466
MAC,262.316559900051,452.05887156108804,413.1857473977963103
MAF,244203.336368234215349,420843.749674591607772,1849.57709341619084498
MAR,76394514.832330544132380,131653213.8943828379683625,648568.62339050581326314
MCO,31.889879024960933,54.956891519682685,0.3916300133007813
MDA,33513125.7849927350657765,57754286.7694708052334635,356012.10175025362653424
MDG,2967959582.1535210169884496,5114783679.911247791633812,17141085.63788061810242809
MDV,151640.237777678603582,261326.67643686627400,5569.75391625988632287
MEX,6276210547.9836260904154884,10816002844.3584426633640032,53177141.60100869006426100
MKD,108635761.6099079754163537,187215629.174407542761856,781684.41677569808867017
MLI,3016641.637530451545220,5198679.088677530103062,25097.99975557761345725
MLT,11927.424427358362214,20554.928096480913849,116.70431756518230328
MMR,10431641391.2883887982787595,17977195330.9871140963086100,42863374.09366565458495113
MNE,104160368.751142073758691,179503035.481133369819890,616440.456206306377449905
MNG,340974529.5381193355156597,587612772.5706966265869218,4090464.88650359076377171
MOZ,3674305850.4877390456141630,6332053749.007128350035690,28917947.26893718418123807
MRT,3623.853135664202703,6245.106903794631596,33.31622286066296336
MSR,890853.835456439787585,1535238.109769931991424,4582.52725114229857412
MTQ,14989358.5684452882003775,25831661.266287382257521,74649.67904764347230958
MUS,13425354.564207934780366,23136361.03231841974117,71304.81704856900881267
MWI,199735589.6034386173924585,344210999.416592541117702,1521821.68799237259606122
MYS,7819346708.5849299884055725,13475340827.794734552898520,29430562.39760460880670373
MYT,6788015.635462937365705,11698013.611781132264687,33577.05042572003180766
NAM,298015.9334871229953940,513580.792042808441073,3835.35235433686041479
NCL,252290652.024537372235091,434780890.322288627978243,1440330.50387032918001112
NER,181.471725446743172,312.736273519887423,2.32870724518934513
NFK,0,0,0
NGA,1398706351.9795886922714336,2410437279.911479495522963,10048731.32858055647968731
NIC,1425493063.0059231886588340,2456599711.9135405732486805,7776807.52116436567084604
NLD,80273003.144166367914772,138337142.085113120867372,593051.675286914058561364
NOR,945681307.7488742729440456,1629724120.3538879420607520,11739521.784679626581599219
NPL,1364978588.388958403097344,2352313100.656987589533864,5161040.90247137434185662
NRU,0,0,0
NZL,1990139766.3850732938646599,3429674197.403620912504239,11255742.600712101980853742
OMN,53.65077558409506,92.45816992325715,0.3597874400195312
PAK,169736528.848443992352016,292512618.048819036761206,978655.889162504749051665
PAN,1259318006.8154552231932076,2170224698.411974812538894,5700499.75915411702974405
PER,22320811130.5078421615935441,38466197848.241657764993327,78087222.68306219616359000
PHL,4142955509.0159004182335821,7139693327.204071648496630,18599416.94134113164459190
PLW,11844659.713459771376633,20412296.906195666387572,41263.46520917831814206
PNG,13565537370.581662951027636,23377942735.302418667841836,42921809.05075395295546588
POL,1257255661.447203771128108,2166670589.8940102670295914,10439489.725114999117675104
PRI,97773908.9806765672939555,168497036.476699578856678,523696.33607200501384416
PRK,534857024.679234728038837,921736939.197198812313813,5196389.714276725335776896
PRT,263930663.7328162263386926,454840510.4995530777357015,2302481.42451336271691658
PRY,1851357500.0536591375462850,3190506091.759132658145452,24296867.55250777740594575
PSE,57502.6663093715792606,99096.261606483724911,614.76689884244761172
QAT,0,0,0
REU,33553806.6252237776172,57824393.417468966001,170474.525072917366211
ROU,1159603533.2830598876278872,1998383422.357803310235791,7915161.125357486807587397
RUS,61789043721.4768567589749775,106483118680.0117743726865876,761226496.941587724437464768
RWA,65778114.5317773212604765,113357617.376429658131944,497885.77544611319887852
SAU,613.739406129916794,1057.677576563889243,6.80771239235242946
SDN,7640788.797578873355796,13167626.027827342759751,72712.56006031869372024
SEN,4081056.3978133000963415,7033020.525564896476378,39568.36253797178686003
SGP,2966290.954921068331336,5111908.078980639216492,18784.23099652324168302
SJM,0,0,0
SLB,702499325.6913929937044575,1210640504.608168611702925,2741617.78668098023155606
SLE,703486416.9408720450554910,1212341591.861433369013923,5617878.28584869317246608
SLV,156340488.6874487311471510,269426775.504703469900947,988823.30823611995195803
SMR,82932.22913771371743,142919.8748806599928,829.5404327158807827
SOM,5197535.2651900300253023,8957085.773677425447125,87128.07478370866992332
SPM,96665.351887238488947,166586.623085674657988,5454.07197222312136397
SRB,434555720.0866418010665805,748884357.6159806298348055,2730300.36042790529966522
SSD,1011491274.857604560246727,1743136630.337923827038205,11386560.10479218968265665
STP,3539779.660113684636705,6100220.28092920680886,14213.57470684864175404
SUR,4721158112.246123895630127,8136129146.770905009997371,13949809.56768395928820911
SVK,395171682.5517428498446665,681012532.9308347230607096,2397197.266002808213408614
SVN,237959184.1683562023225608,410082994.050132778794278,1293520.687201154589371287
SWE,1895760212.6323803566856537,3267026766.4364592759659238,27883714.002104401388739661
SWZ,57495006.086322655185192,99083060.488762781921456,469227.38864805186332785
SXM,120661.976838847451011,207940.806752280770428,1022.17978238478378491
SYC,566549.74275698536767,976354.05668451886084,6209.6246193926565553
SYR,11644260.007318003330741,20066941.412611389613597,105939.86933258806860699
TCA,643237.509176885954113,1108512.640814837308637,10851.31188484849777177
TCD,44775561.588480587406613,77163217.804148972023165,409749.29467141703589210
TGO,61521295.509808343203505,106021699.261900264389357,558803.51325535240907294
THA,4383370818.8019892903166265,7554009044.402114129601013,19962441.08856438030746052
TJK,6286201.906837417232353,10833221.286116456223716,60256.648494326543075484
TKM,1051237.920529325828553,1811633.349712200004228,10176.93568905963096422
TLS,144671526.249438859973313,249317263.569866015417666,726234.45140169493897431
TTO,87435511.2877665359007078,150680531.1192512126830845,391844.28193397896752198
TUN,26588204.6214266285568285,45820339.297591808734429,223827.619878476267067079
TUR,1167848942.8234231628691645,2012593011.465698395016287,10060827.80563337411348474
TUV,0,0,0
TWN,573205326.350931389196377,987823845.744771643805554,2342180.54739472704063672
TZA,3372308348.7740917020579650,5811611387.720679184372498,26406465.77483964063651268
UGA,769000415.168483134710222,1325244048.807007206627604,7764958.85456220918006489
UKR,1241265926.8685420332110983,2139114947.3034500442590964,11133284.65245185818309687
UMI,0,0,145.89811682776058
URY,140003375.3871555219715730,241272483.583864766755698,1697322.42308113657992010
USA,36687521768.01079365103435539,63224829180.2051590636855291,279376627.649933765899981089
