iso,alert__year,alert__week,alert__count,confidence__cat
AFG,2012,41,1,h
AFG,2012,42,1,h
AFG,2013,43,1,h
AFG,2015,41,1,h
AFG,2015,43,1,h
AFG,2016,40,1,h
AFG,2017,40,1,h
AFG,2017,41,1,h
AFG,2017,42,5,h
AFG,2017,43,2,h
AFG,2018,42,1,h
AFG,2019,41,1,h
AFG,2019,42,2,h
AFG,2020,41,48,h
AFG,2020,42,2,h
AFG,2020,43,1,h
AFG,2020,44,1,h
AFG,2021,40,1,h
AFG,2023,41,1,h
AGO,2012,41,566,h
AGO,2012,42,301,h
AGO,2012,43,199,h
AGO,2012,44,92,h
AGO,2013,41,2306,h
AGO,2013,42,821,h
AGO,2013,43,144,h
AGO,2013,44,616,h
AGO,2014,41,742,h
AGO,2014,42,652,h
AGO,2014,43,1278,h
AGO,2014,44,239,h
AGO,2015,41,1168,h
AGO,2015,42,825,h
AGO,2015,43,831,h
AGO,2015,44,502,h
AGO,2016,40,1322,h
AGO,2016,41,2771,h
AGO,2016,42,1095,h
AGO,2016,43,324,h
AGO,2017,40,1105,h
AGO,2017,41,956,h
AGO,2017,42,1698,h
AGO,2017,43,174,h
AGO,2018,41,4066,h
AGO,2018,42,1593,h
AGO,2018,43,422,h
AGO,2018,44,752,h
AGO,2019,41,443,h
AGO,2019,42,1539,h
AGO,2019,43,562,h
AGO,2019,44,163,h
AGO,2020,41,3953,h
AGO,2020,42,899,h
AGO,2020,43,1930,h
AGO,2020,44,573,h
AGO,2021,40,1135,h
AGO,2021,41,2549,h
AGO,2021,42,395,h
AGO,2021,43,82,h
AGO,2022,40,4196,h
AGO,2022,41,1664,h
AGO,2022,42,280,h
AGO,2022,43,101,h
AGO,2023,40,2237,h
AGO,2023,41,477,h
AGO,2023,42,1430,h
AGO,2023,43,363,h
AGO,2024,41,5220,h
AGO,2024,42,399,h
AGO,2024,43,784,h
AGO,2024,44,663,h
ALB,2013,44,2,h
ALB,2014,42,1,h
ALB,2016,43,1,h
ALB,2017,40,1,h
ALB,2017,41,4,h
ALB,2017,42,2,h
ALB,2018,41,1,h
ALB,2018,42,2,h
ALB,2018,43,4,h
ALB,2019,43,3,h
ALB,2019,44,8,h
ALB,2021,40,1,h
ALB,2022,40,5,h
ALB,2023,40,3,h
ALB,2023,41,3,h
ALB,2024,43,1,h
