iso,umd_tree_cover_extent_2000__ha,area__ha
AGO,285836.63445893662358034,286238.02952745111099874
ARG,2088520.243111468603612565,3987178.870484344004664356
AUS,3145326.123771348535029380,8228037.273071454145587300
BLZ,427457.59988315241881074,427505.01233841183052272
BOL,23006053.07411099266316657,23172167.02990845790994315
BRA,244893049.76067572942913133,247627876.02303292583023094
BRN,199101.00930546859387680,199142.66479494117524896
BTN,481473.60315211315597107,640847.73960985497727148
CAF,868101.09074751347967489,868138.48658247884066303
CAN,186090950.184392246982762661,304007854.357714804080245066
CHL,5580270.407399128385685104,13137270.814570296882157739
CHN,1687022.84679480595556013,4497716.01070292746409202
CIV,455951.5277148811323012,455956.7336208456596012
CMR,5277549.70936600024563181,5281680.86650704146565175
COD,64343402.03691687201106191,64402654.83032086476411736
COG,13864693.80198463107651879,13870139.68421765028260618
COL,34756904.42437760164274279,34926633.17889725084760801
CRI,315917.39242409072977058,318967.30127051406362714
CUB,3982.65699058795191939,54409.59922058357177179
DOM,79081.4816028263201002,79565.7713565034274602
ECU,5262555.91092616979093120,5314526.04141210981978447
ETH,367201.43189771422444509,367299.80680395967312002
FIN,421562.890413250378431504,974651.31434153774653031
GAB,10875632.06419792834653373,10883601.60414804552475452
GEO,437486.540408302113380486,904749.46013714223253610
GNQ,422147.12038079514533965,425019.99266547876432571
GTM,565146.72161452867149778,565598.73280873709997478
GUF,6527357.27178544471926760,6539326.25741237516859754
GUY,14356808.54011613408785779,14413953.58843788215756288
HND,673471.62151961952192907,673690.50489853577077365
IDN,35627847.04255994601098824,35943899.62388282330240484
IND,2566731.94905621368670647,3371700.21290506227384757
JPN,112487.41114333904886470,122940.56557375216018996
KAZ,209615.762421047916184997,438835.507603995396395577
KHM,114197.16062376353846316,114223.91764252048152446
LAO,843451.41043201192318481,854884.55130390069072245
LBR,474806.60759962257061229,475037.77635203375386647
MDG,1694526.34246048373921241,1724810.11088194853563737
MEX,1450480.25319597177145612,1499364.07061690951629773
MMR,5009587.14399869097481967,5286564.43759957551869417
MNG,588890.14846543160168634,1173330.155855712426119166
MYS,2108652.00125482416652045,2109957.02371848612629321
NGA,300756.98083317928033959,300945.96340107117482081
NIC,1026969.86389256223442746,1030440.67316054282270457
NOR,39589.309351693867676972,178927.712307778839755326
NPL,17505.7959307348731696,55354.621964809606359
NZL,3330924.213035265078020430,4315450.422900787789340648
PAN,1447923.51994852948333325,1453565.64625810023201537
PER,56497464.03338826807060171,56740409.13345331523875728
PHL,402067.95340663832893610,403973.05888605456133255
PNG,15746096.13493491358001732,15967589.45674247278075264
PRY,4265487.85550332805753464,4447345.92868604843848926
ROU,62161.032167810928605717,98253.67733948538129043
RUS,195273245.060005884323455903,274462963.089644090756995666
SLB,781674.86618378311916732,782503.46827978065497916
SUR,10682940.32452430971361779,10739645.23220234249572569
SWE,649934.799939534677017181,1158708.726603380986631067
THA,1916772.76019493713825901,1944284.12581378118751949
TZA,344199.11178709227585001,408315.28784066959748386
UGA,90300.12217478960821705,94419.66183143868004290
USA,35331592.462807673904065305,53929298.155069516172490306
VEN,30817467.98420548208072153,31278914.54956200854391475
VNM,402122.37508062834117324,403194.68194834673862320
VUT,70468.14580113640237592,70657.72813029753601492
