iso,soil_carbon__t,soil_carbon_density__t_ha
PRY,2943998354.4279675,17976.089017711813
MDG,3686887022.8830433,1467.1029653530027
ASM,2746569.3264125297,2032.619781790944
TZA,4114442174.134236,8891.658702963206
NLD,488552691.03644276,64832.71393722145
VEN,7943402060.481426,29696.7997833929
PSE,21659984.325579856,553.2118205762811
COG,2557708689.8608065,3519.9396843254935
CUB,1270221662.5102873,17081.885695757137
AUT,1043453098.2604206,10602.310009441877
HUN,649917875.4213798,11672.298326897813
XKO,99619526.12312138,2691.937705254282
GBR,3889213893.6082516,24930.639660797875
CAF,4010317570.224735,3257.0019598851836
MMR,6171583842.503843,5374.655645642913
GMB,76712492.98673262,2825.3235293019056
EST,723994299.162769,34316.715069514015
SOM,1835437441.7239265,2203.1637586650363
BEL,232087673.0146058,759.3846455416948
URY,1406636290.5654578,16303.60490832089
MRT,1047083710.4591075,669.9329049214587
BTN,546578982.2136035,26944.87529837844
CZE,736662070.1703256,8510.405449057886
VNM,3129719064.8246427,64169.61824961474
FJI,292229160.2401903,2365.1028853370403
ERI,343853117.469912,1878.1341480428382
LBN,57687322.96883296,1632.7080201902297
SVN,254436012.2228441,22076.26958239276
LTU,897653466.9161004,6665.809731684849
CIV,1611264159.897478,1627.2897259110712
VUT,167399110.9253869,8557.567744050093
PHL,3531851820.936576,188890.78910795882
MLT,1981932.1918363806,4738.498796417641
DJI,57573978.70733154,287.53929141516136
SEN,791504086.9743407,2065.9712665006828
ESP,3346046281.6796813,3643.5454951383554
TUN,360558143.9490815,10245.878363464964
GHA,1072141945.4105871,6228.037412139705
BLR,2808893425.60481,15825.142930156242
SUR,1030369318.898573,6729.246301561809
ROU,2198593119.949028,250988.00470425823
OMN,340569243.72169375,705.805166805703
TWN,466046791.14482594,2375.984863143792
HRV,553083978.8295178,48958.064955274785
GRC,1012280904.718582,1107.3290051973527
LBR,636769180.2561178,4502.605119992639
GUF,578277271.3624974,1777.883012269678
MYS,5623547020.498054,25684.629958007965
GNB,322396025.4940515,4004.660582277405
TJK,913663302.0850719,3872.730850215324
HTI,227531716.75145093,3473.4583032698374
VIR,2918594.399427644,1323.2672129137768
NIC,1172815267.1130106,11648.542619731725
LAO,1912788907.4758332,10962.34099471918
NGA,4530821452.485258,43977.3049341773
DOM,451960298.0077609,13694.86896653299
CRI,707786723.1661379,12383.81183726918
PRT,706028767.6174531,27281.666807685455
ZWE,1245586311.4876418,1974.4707653208618
MTQ,12882717.308278479,3824.490824016524
SLB,428011699.234674,26003.474616038682
AZE,625387112.3107103,5631.452424277199
FRO,32241446.198387332,6635.799012474925
NOR,5276815420.220074,71081.3176519674
ZMB,3313339255.3146434,3124.9477763516284
DNK,542755147.8692563,11930.502552347562
AGO,5473887822.439521,7852.927128746029
BOL,6807642717.907983,5763.3363382245025
GLP,22526571.660391074,3922.712789292571
SSD,3686540198.437368,2658.500335719561
IRQ,878402362.9940268,2987.538974206664
MWI,427811524.6531384,10504.760599368145
WSM,40910954.38813234,5739.337497414061
KHM,1343615605.1709232,12792.874588119596
NPL,1452579441.8515897,1354.0981020584668
IND,19209534420.80533,43437.61304197689
EGY,1102059473.3876188,13436.249368555036
SWZ,99751208.55575933,3122.5115369004284
CMR,3370617132.623786,4837.119933919451
CHL,8447927143.188239,5622.366734923569
GUY,1828102550.0245714,12494.556301175797
BGR,937618948.8711437,21980.53102073275
GEO,869650001.4689777,8269.716706203773
ARG,16473839606.272516,32857.12586245672
GTM,1049121286.2426863,37319.93355963224
USA,92548463711.09091,255908.05454077656
LUX,27173288.001631785,1255.676434907926
SRB,665629004.4214684,13198.72835264343
RUS,333739240668.5389,326697.7811859755
NAM,1146170751.980999,1739.193241493571
MAC,122531.33018551083,442.1850563927855
LVA,1129411959.0375886,4543.937177111967
BGD,963885697.959633,4335.852532106768
BIH,590651640.135331,2016.980572327112
COD,15248589148.162886,15055.0230778215
FIN,6138469578.880177,3645.346169752099
KAZ,19675471927.043972,15213.072591277814
IRN,4111456472.3593626,10225.140459286018
PNG,8497109701.449791,17182.79892764293
PAK,2872863163.0593076,1249.8643147655935
BFA,1074461782.0089796,1765.0160850743557
ALB,281882359.8353219,3490.8855206411586
PAN,958165784.8606029,8696.40743336237
KGZ,1851110789.5274396,3842.5004180947863
BRN,135178821.83714297,7883.352447336476
STP,15132198.059642302,983.0633996277719
NZL,4491981918.200796,11460.352915917247
DZA,2937050242.7308955,66602.00379193675
UKR,6335611502.638243,64131.21045244367
BDI,211112120.401702,10580.824613375657
THA,3627506339.6907063,66070.95233018667
JOR,122142363.62602596,1277.830471927261
COL,13114453717.030838,146877.86891861953
GIN,1719656826.2229145,2591.9555930957154
MLI,2463571840.3135095,1593.2524618873251
POL,3066026602.3364544,35944.17603605663
SVK,470961558.60070205,7397.120490780361
SWE,7741200431.890234,45480.86444327625
PRK,1397867325.663422,18358.10025012068
TUR,5798936383.36435,70710.20841695608
DEU,3883625115.265639,41573.86989530387
MOZ,3444719990.0847416,5873.523682940978
IMN,9987186.325169139,3865.8281010759792
IDN,35926562015.87694,79781.74963918474
ARE,53128712.69590274,3163.243842188433
SLE,545179789.5928831,1089.6709268286522
AUS,24761027647.343815,35200.37003856559
SLV,151288768.51628768,18959.976637492975
GAB,2462375657.3343954,3489.253912495109
FRA,4627026852.718424,8102.831836616369
CHN,65300071072.12401,24514.94369763383
MAR,1164308978.4290771,2043.5934350441105
UGA,1664674584.7546835,13402.560223196431
ZAF,4244697809.0060143,2410.757665146407
SYR,442869692.2440702,2287.707423658717
LKA,592814127.0885481,30740.572337214773
TLS,134658892.22490713,5756.138943210137
CAN,188709687763.7201,42391.61665617997
BWA,917085242.1035703,505.0727297488776
BRA,55973856175.970535,368078.68688567413
WLF,1692677.1286692168,602.859299439361
AFG,2766212759.339311,16077.914677231427
SDN,3731759563.599318,2194.1955170832352
GNQ,268884292.29494923,3335.936162473765
RWA,235922756.4235658,2867.3345583154346
CHE,560567999.1760889,21343.888528205047
ISL,1545922142.3092394,18600.863317371233
KOR,983261856.4459553,20686.696681943522
SHN,6647014.771808745,1518.8099877049042
ECU,3557561590.7048078,29423.534279618805
PER,14325656383.157297,17444.00515167864
NCL,217364825.23979697,3913.094619043143
REU,48532608.085454635,4467.695143302597
TGO,247659307.26118812,918.1652095532287
YEM,859497156.9511961,10657.04356180281
ITA,2704748290.2049584,9702.916005520297
BEN,492807523.9951434,3374.610560046523
HND,1173619837.2997527,28049.623128849216
NER,1643920521.7625375,877.864705380916
KEN,2617079693.7181416,21088.066934180955
JPN,5535477305.030175,234893.7095376003
MNG,10571437428.611536,25613.638587788882
MEX,11430268399.587286,137873.83461008637
UZB,1278163794.218126,7182.4239583259205
TCD,3215612766.3995414,2250.2606755385423
ETH,7014235082.572545,5669.6745452257865
